Wheat (Wet), 18,17,16,14
Wheat (Dry), 14,13,12,10
Barley (Wet), 14,13,12,10
Corn (Wet), 19,18,17,15
Corn (2nd Product) (Wet), 21,20,19,17
Sorghum (Wet), 19,18,17,16
Rice (Wet), 19,18,17,15
Sunflower (Wet), 20,19,18,16
Sunflower (Dry), 13,12,10,8
Potatoes (Wet), 17,16,14,12
S. Beet (Wet), 17,16,14,12
Bond (Wet), 16,15,14,12
Bond (Dry), 11,10,9,8
Fruit (Wet), 12,11,10,8
Citrus (Wet), 18,17,16,14
Olive (Dry), 10,9,8,6
Banana (Wet), 19,18,17,15
Strawberry (Wet), 11,10,9,7
Tomato (Wet), 19,17,15,13
Vegetables (Other) (Wet), 16,14,12,11
Lettuce (Wet), 18,17,16,14
Orchard (Wet), 15,14,12,10
Orchard (Dry), 10,9,8,6
K.Soğan (Wet), 13,12,11,8
Garlic (Wet), 13,12,11,8
Carrot (Wet), 19,18,17,14
Cotton (Wet), 17,16,15,13
Tobacco (Quality) (Dry), 6,5,4,3
Sesame (Wet), 9,8,6,5
Canola (Dry), 14,13,12,10
