Buğday(Sulu) ,18,17,16,14
Buğday(Kuru) ,14,13,12,10
Arpa(Sulu) ,14,13,12,10
Mısır(Sulu) ,19,18,17,15
Mısır(2. Ürün)(Sulu) ,21,20,19,17
Sorgum(Sulu) ,19,18,17,16
Çeltik(Sulu) ,19,18,17,15
Ayçiçeği(Sulu) ,20,19,18,16
Ayçiçeği(Kuru) ,13,12,10,8
Patates(Sulu) ,17,16,14,12
Ş. Pancarı(Sulu) ,17,16,14,12
Bağ(Sulu) ,16,15,14,12
Bağ(Kuru) ,11,10,9,8
Meyve(Sulu) ,12,11,10,8
Narenciye(Sulu) ,18,17,16,14
Zeytin(Kuru) ,10,9,8,6
Muz(Sulu) ,19,18,17,15
Çilek(Sulu) ,11,10,9,7
Domates(Sulu) ,19,17,15,13
Sebze(Diğer)(Sulu) ,16,14,12,11
Marul(Sulu) ,18,17,16,14
Bostan(Sulu) ,15,14,12,10
Bostan(Kuru) ,10,9,8,6
K.Soğan(Sulu) ,13,12,11,8
Sarımsak(Sulu) ,13,12,11,8
Havuç(Sulu) ,19,18,17,14
Pamuk(Sulu) ,17,16,15,13
Tütün(Kalite)(Kuru) ,6,5,4,3
Susam(Sulu) ,9,8,6,5
Kanola(Kuru) ,14,13,12,10
