Wheat (Wet), 17,16,15,12
Wheat (Dry), 13,12,11,8
Barley (Wet), 16,15,14,10
Barley (Dry), 10,9,8,7
Corn (Wet), 19,18,17,15
Corn (2nd Product) (Wet), 21,20,19,17
Silage Maize (Wet), 23,21,19,17
Rice (Wet), 21,20,19,17
Sunflower (Wet), 18,13,11,9
Sunflower (Dry), 10,9,8,7
Potatoes (Wet), 17,16,14,12
Potatoes (2 nd) (Wet), 18,17,16,14
S. Beet (Wet), 17,16,14,12
Bond (Wet), 14,13,11,9
Bond (Dry), 11,10,9,8
Fruit (Wet), 12,10,8,7
Citrus (Wet), 18,16,14,12
Olive (Dry), 10,9,8,6
Poplar (Wet), 14,13,12,10
Vegetable (Wet), 16,14,12,9
Anise (Wet), 9,8,7,5
Orchard (Wet), 16,15,13,11
Orchard (Dry), 9,8,7,6
Sesame (Wet), 9,8,6,5
Sorghum (Wet), 15,14,13,11
Dry Onion (Wet), 14,13,12,10
Garlic (Wet), 15,14,13,11
Fig (Dry), 12,10,8,7
Cotton (Wet), 16,14,13,11
Tobacco (Quality) (Dry), 6,5,4,3
Carrot (Wet), 19,18,17,14
Canola (Dry), 13,12,10,9
