Wheat (Wet), 17,16,15,12
Wheat (Dry), 10,9,8,8
Barley (Wet), 9,8,7,6
Barley (Dry), 10,9,8,7
Corn (Wet), 18,17,16,12
Silage Maize (Wet), 20,18,16,13
Rice (Wet), 19,17,15,10
Sunflower (Wet), 18,13,11,10
Potatoes (Wet), 16,15,14,10
Potatoes (Dry), 11,10,9,7
S. Beet (Wet), 18,16,14,12
S. Beet (Dry), 11,10,9,8
Bond (Wet), 13,12,10,8
Bond (Dry), 10,8,7,6
Fruit (Wet), 12,11,9,7
Vegetables (Wet), 16,15,14,10
Chickpeas (Dry), 5,4,3,3
Garlic (Wet), 14,13,12,10
K. Onion (Wet), 14,13,12,10
K. Onion (Dry), 10,9,8,7
Anise (Wet), 9,8,7,6
Orchard (Wet), 13,11,9,8
Cumin (Dry), 11,10,8,6
Poppy (Wet), 9,8,7,6
Rose (Wet), 16,12,8,4
Meadow (Wet), 20,19,18,16
Canola (Dry), 10,9,8,8
