Wheat (Wet), 16,15,14,12
Wheat (Dry), 9,8,7,5
Barley (Dry), 8,7,6,5
Corn (Wet), 17,16,14,10
Corn 2. Product (Wet), 18,16,14,12
Rice (Wet), 17,16,14,12
Sunflower (Wet), 14,13,12,10
Potatoes (Wet), 16,14,13,11
S. Beet (Wet), 15,14,12,10
Bond (Wet), 16,14,12,10
Bond (Dry), 11,10,9,7
Cotton (Wet), 15,14,12,10
Fruit (Wet), 12,11,9,8
Olive (Dry), 9,8,7,6
Antep Peanuts (Dry), 12,9,6,3
Vegetables (Wet), 16,14,12,10
Orchard (Wet), 10,9,8,7
Korunga, 6,5,4,3
Soy (Wet), 6,5,4,4
Sesame (Wet), 9,8,6,6
Dried onion (Wet), 15,13,12,10
Garlic (Wet), 15,14,13,11
Canola (Dry), 9,8,7,4
Poplar (Wet), 14,13,12,10
Tobacco (Quality) (Dry), 4,4,3,3
Tobacco (Other) (Dry), 9,8,7,5
Carrot (Wet), 17,16,14,12
