Wheat (Wet), 17,16,15,12
Wheat (Dry), 14,13,12,10
Corn (Wet), 19,17,15,12
Rice (Wet), 19,18,17,14
Sunflower (Wet), 18,12,10,8
Potatoes (Dry), 17,15,13,12
Potatoes (Dry), 12,10,8,7
S. Beet (Dry), 18,17,16,14
S. Beet (Dry), 11,10,9,8
Bond (Wet), 15,13,11,9
Bond (Dry), 10,8,7,7
Fruit (Wet), 11,10,8,6
Vegetable (Wet), 15,13,11,9
Poplar (Wet), 14,13,12,10
K. Onion (Wet), 15,13,12,10
K. Onion (Dry), 10,9,8,6
Orchard (Wet), 16,15,13,11
Orchard (Dry), 8,7,6,3
Tobacco (Trabzon) (Dry), 10,8,7,6
Tobacco (Samsun) (Dry), 5,4,3,3
Canola (Dry), 14,13,12,10
Hazelnut (Dry), 20,18,16,14
Tea,, 24,22,20,18
Garlic (Dry), 15,14,13,11
Cannabis (Dry), 14,13,12,10
Poppy (Wet), 9,8,7,6
Citrus (Dry), 18,16,14,12
Kiwi (Wet), 10,9,8,7
Meadow (Dry), 21,20,18,17
Olive (Dry), 10,9,8,6
