Wheat (Wet), 17,16,15,12
Wheat (Dry), 10,9,8,7
Corn (Wet), 21,20,19,17
Corn (Dry), 14,13,12,10
Rice (Wet), 18,17,16,14
Sunflower (Wet), 18,12,11,9
Sunflower (Dry), 10,9,8,7
Potatoes (Wet), 18,17,16,12
Potatoes (Dry), 14,12,11,9
S. Beet (Wet), 18,17,16,1 4
S. Beet (Dry), 13,11,10,9
Bond (Wet), 15,13,12,10
Bond (Dry), 10,9,8,7
Fruit (Wet), 12,10,8,7
Vegetables (Wet), 16,15,13,11
Poplar (Wet), 14,13,12,10
K. Onion (Wet), 14,13,12,10
K. Onion (Dry), 9,8,7,6
Orchard (Wet), 16,15,13,11
Orchard (Dry), 9,8,7,5
Tobacco (quality) (Dry), 6,5,4,3
Tobacco (Other) (Dry), 10,9,8,6
Pumpkin (Wet), 11,10,9,8
Olive (Dry), 10,9,8,7
Canola (Dry), 14,13,12,10
Hazelnut (Dry), 20,18,16,14
Garlic, Wet, 15,14,13,11
Hops (Dry), 14,13,12,10
Cumin (Dry), 11,10,8,6
