Buğday(Sulu) ,17,16,15,12
Buğday(Kuru) ,10,9,8,7
Mısır(Sulu) ,21,20,19,17
Mısır(Kuru) ,14,13,12,10
Çeltik(Sulu) ,18,17,16,14
Ayçiçeği(Sulu) ,18,12,11,9
Ayçiçeği(Kuru) ,10,9,8,7
Patates(Sulu) ,18,17,16,12
Patates(Kuru) ,14,12,11,9
Ş. Pancarı(Sulu) ,18,17,16,1 4 
Ş. Pancarı(Kuru) ,13,11,10,9
Bağ(Sulu) ,15,13,12,10
Bağ(Kuru) ,10,9,8,7
Meyve(Sulu) ,12,10,8,7
Sebze(Sulu) ,16,15,13,11
Kavak(Sulu) ,14,13,12,10
K. Soğan(Sulu) ,14,13,12,10
K. Soğan(Kuru) ,9,8,7,6
Bostan(Sulu) ,16,15,13,11
Bostan(Kuru) ,9,8,7,5
Tütün(kalite)(Kuru) ,6,5,4,3
Tütün(Diğer)(Kuru) ,10,9,8,6
Balkabağı(Sulu) ,11,10,9,8
Zeytin(Kuru) ,10,9,8,7
Kanola(Kuru) ,14,13,12,10
Fındık(Kuru) ,20,18,16,14
Sarımsak ,sulu ,15,14,13,11
Şerbetçiotu(Kuru) ,14,13,12,10
Kimyon(Kuru) ,11,10,8,6
