Wheat (Wet), 16,15,14,12
Wheat (Dry), 9,8,7,5
Barley (Wet), 15,14,13,11
Barley (Dry), 8,7,6,5
Corn (Wet), 17,16,14,10
Rice (Wet), 19,18,16,12
Sunflower (Wet), 14,13,12,10
Potatoes (Wet), 16,16,14,12
S. Beet (Wet), 15,14,12,10
Bond (Wet), 15,13,12,11
Bond (Dry), 10,8,7,6
Fruit (Wet), 10,9,7,6
Vegetables (Wet), 15,14,13,11
Poplar (Wet), 14,13,12,10
Orchard (Wet), 13,10,9,6
Orchard (Dry), 7,6,5,3
Dried onion (Wet), 14,13,12,10
Garlic (Wet), 13,12,10,9
Canola (Dry), 9,8,7,4
Poppy (Wet), 8,7,6,5
Carrot (Wet), 19,18,17,14
Cumin (Dry), 11,10,9,7
Sesame (Dry), 6,5,4,3
