Buğday(Wet) ,16,15,14,12
Buğday(Dry) ,9,8,7,5
Arpa(Wet) ,15,14,13,11
Arpa(Dry) ,8,7,6,5
Mısır(Wet) ,17,16,14,10
Çeltik(Wet) ,19,18,16,12
Ayçiçeği(Wet) ,14,13,12,10
Patates(Wet) ,16,16,14,12
Ş. Pancarı(Wet) ,15,14,12,10
Bağ(Wet) ,15,13,12,11
Bağ(Dry) ,10,8,7,6
Meyve(Wet) ,10,9,7,6
Sebze(Wet) ,15,14,13,11
Kavak(Wet) ,14,13,12,10
Orchard(Wet) ,13,10,9,6
Orchard(Dry) ,7,6,5,3
Dry soğan(Wet) ,14,13,12,10
Sarımsak(Wet) ,13,12,10,9
Kanola(Dry) ,9,8,7,4
Haşhaş(Wet) ,8,7,6,5
Havuç(Wet) ,19,18,17,14
Kimyon(Dry) ,11,10,9,7
Susam(Dry) ,6,5,4,3
