Buğday(Sulu) ,17,16,15,12
Buğday(Kuru) ,14,13,12,10
Arpa(Kuru) ,10,9,8,7
Yulaf(Kuru) ,8,7,6,5
Mısır(Sulu) ,19,18,16,14
Mısır(Kuru) ,14,13,12,10
Çeltik(Sulu) ,19,18,17,14
Ayçiçeği(Sulu) ,18,14,12,10
Ayçiçeği(Kuru) ,10,9,8,7
Patates(Sulu) ,17,16,14,12
Ş. Pancarı(Sulu) ,15,14,12,10
Ş. Pancarı(Kuru) ,11,10,9,8
Bağ(Sulu) ,14,12,11,10
Bağ(Kuru) ,10,9,8,7
Meyve(Sulu) ,12,10,8,7
Sebze(Sulu) ,16,14,12,10
Kavak(Sulu) ,15,14,12,10
K. Soğan(Sulu) ,15,14,12,10
K. Soğan(Kuru) ,10,9,8,7
Bostan(Sulu) ,13,11,9,8
Bostan(Kuru) ,9,8,7,6
Tütün(Kuru) ,5,4,3,3
Kabak(Çekirdek)(Sulu) ,10,9,8,7
Zeytin(Kuru) ,10,9,8,7
Kanola(Kuru) ,14,13,12,10
